benmark,benign,SDC,crash
BobGame,0.426,0.186,0.388
ExtraLongFactorials,0.136,0.654,0.21
PrimeNumberandQueries,0.826,0.024,0.15
SimpleTreeCounting,0.686,0.014,0.3
pangrams,0.37,0.026,0.604
OrderStrings,0.374,0.062,0.564
SuffixRotation,0.558,0.136,0.306
ConstructaNumber,0.492,0.456,0.052
ImpressiveTree,0.998,0.0,0.002
ExtraSweet,0.4,0.366,0.234
ChocolateFeast,0.288,0.48,0.232
TileStackingProblem,0.36,0.238,0.402
SherlockAndGCD,0.586,0.288,0.126
AngryProfessor,0.618,0.262,0.12
LexicographicallySmallerorEqualStrings,0.998,0.0,0.002
GameOfThrones1,0.614,0.204,0.182
MakeAnagram,0.416,0.122,0.462
EruptingVolcanoes,0.624,0.058,0.318
counting_sort2,0.152,0.59,0.258
MaximizingXOR,0.298,0.208,0.494
Pairs,0.428,0.05,0.522
TwoArrays,0.504,0.278,0.218
PythagoreanTriple,0.35,0.408,0.242
LetPlayaGame,0.376,0.036,0.588
OptimalPolygon,0.444,0.556,0.0
HalloweenParty,0.272,0.306,0.422
MatrixLand,0.426,0.184,0.39
SolvetheQueries,0.58,0.282,0.138
TheChosenOne,0.468,0.12,0.412
SequenceEquation,0.326,0.486,0.188
MinimumEdgesinaLayeredGraph,0.548,0.006,0.446
ManasaAndStones,0.454,0.408,0.138
CameraPurchase,0.466,0.004,0.53
NumberGroups,0.432,0.158,0.41
GemStones,0.51,0.13,0.36
ProjectEulerMultiple3and5,0.334,0.16,0.506
MaxTransform,1.0,0.0,0.0
StockPortfolio,0.472,0.046,0.482
DivisorExploration3,0.584,0.0,0.416
3DSurfaceArea,0.524,0.168,0.308
StrangeFunction,0.928,0.0,0.072
TheGreatGameofGalia,0.46,0.434,0.106
CardsPermutation,0.812,0.0,0.188
SherlockAndSquares,0.456,0.332,0.212
UtopianTree,0.446,0.34,0.214
SwapNodes,0.458,0.216,0.326
BoxOperations,0.408,0.292,0.3
MarchoftheKing,0.594,0.042,0.364
DefiniteRandomWalks,0.998,0.0,0.002
KthMinimum,0.734,0.022,0.244
BoatTrips,0.726,0.164,0.11
FindDigits,0.304,0.56,0.136
AfraidoftheDark,0.346,0.528,0.126
PolynomialDivision,0.614,0.012,0.374
CastleTowers,0.392,0.068,0.54
WireRemoval,0.624,0.0,0.376
SherlockAndPairs,0.408,0.278,0.314
MutualIndivisibility,0.334,0.502,0.164
Salesman,0.37,0.056,0.574
HighwayConstruction,0.392,0.032,0.576
ConstructtheArray,0.52,0.18,0.3
LoveLetterMystery,0.272,0.64,0.088
Service_lane,0.414,0.45,0.136
Keywords,0.396,0.05,0.554
TwoStrings,0.702,0.162,0.136
BreakingSticks,0.384,0.352,0.264
LonelyInteger,0.386,0.034,0.58
MissingNumber,0.41,0.136,0.454
FunnyString,0.41,0.418,0.172
StockMaximize,0.0,0.884,0.116
TriangleNumbers,0.49,0.27,0.24
KekotheBrilliant,0.998,0.0,0.002
TripleRecursion,0.324,0.482,0.194
SansaXor,0.512,0.194,0.294
icecreamparlour,0.466,0.304,0.23
AlternatingCharacters,0.386,0.56,0.054
BlackWhiteTree,0.994,0.002,0.004
MinimumHeightTriangle,0.268,0.4,0.332
CountPairs,0.428,0.316,0.256
AngryChildrens,0.426,0.138,0.436
FroginMaze,0.572,0.0,0.428
FactorialArray,0.644,0.224,0.132
LuckyPurchase,0.754,0.196,0.05
MaximizeProfit,0.408,0.07,0.522
StockPurchaseDay,0.278,0.504,0.218
AnimalTransport,0.772,0.228,0.0
CavityMap,0.374,0.112,0.514
StrongPassword,0.46,0.028,0.512
LinkedListCycle,0.5,0.454,0.046
RationalSums,0.46,0.322,0.218
LEGOs,0.214,0.584,0.202
CutTheSticks,0.306,0.52,0.174
WalkingRobots,0.51,0.46,0.03
Airports,1.0,0.0,0.0
TheSnakevstheWind,0.398,0.336,0.266
CarShow,0.788,0.002,0.21
